id,name,origin,type,subtype,value,description
9602,christmas_island,builtin,country,6,christmas_island,region: oceania
9603,cook_islands,builtin,country,6,cook_islands,region: oceania
9606,fiji,builtin,country,6,fiji,region: oceania
9607,french_polynesia,builtin,country,6,french_polynesia,region: oceania
9608,guam,builtin,country,6,guam,region: oceania
9609,kiribati,builtin,country,6,kiribati,region: oceania
9610,marshall_islands,builtin,country,6,marshall_islands,region: oceania
9611,nauru,builtin,country,6,nauru,region: oceania
9612,new_caledonia,builtin,country,6,new_caledonia,region: oceania
9613,new_zealand,builtin,country,6,new_zealand,region: oceania
9614,niue,builtin,country,6,niue,region: oceania
9615,norfolk_island,builtin,country,6,norfolk_island,region: oceania
9616,northern_mariana_islands,builtin,country,6,northern_mariana_islands,region: oceania
9617,palau,builtin,country,6,palau,region: oceania
9618,papua_new_guinea,builtin,country,6,papua_new_guinea,region: oceania
9620,samoa,builtin,country,6,samoa,region: oceania
9621,solomon_islands,builtin,country,6,solomon_islands,region: oceania
9622,tokelau,builtin,country,6,tokelau,region: oceania
9623,tonga,builtin,country,6,tonga,region: oceania
9624,tuvalu,builtin,country,6,tuvalu,region: oceania
9625,us_minor_outlying_islands,builtin,country,6,us_minor_outlying_islands,region: oceania
9626,vanuatu,builtin,country,6,vanuatu,region: oceania
9700,anguilla,builtin,country,6,anguilla,region: north_america
9701,antigua_and_barbuda,builtin,country,6,antigua_and_barbuda,region: north_america
9702,aruba,builtin,country,6,aruba,region: north_america
9703,bahamas,builtin,country,6,bahamas,region: north_america
9704,barbados,builtin,country,6,barbados,region: north_america
9705,belize,builtin,country,6,belize,region: north_america
9706,bermuda,builtin,country,6,bermuda,region: north_america
9707,british_virgin_islands,builtin,country,6,british_virgin_islands,region: north_america
9708,canada,builtin,country,6,canada,region: north_america
9709,cayman_islands,builtin,country,6,cayman_islands,region: north_america
9710,costa_rica,builtin,country,6,costa_rica,region: north_america
9711,cuba,builtin,country,6,cuba,region: north_america
9713,dominica,builtin,country,6,dominica,region: north_america
9714,dominican_republic,builtin,country,6,dominican_republic,region: north_america
9715,el_salvador,builtin,country,6,el_salvador,region: north_america
9716,greenland,builtin,country,6,greenland,region: north_america
9717,grenada,builtin,country,6,grenada,region: north_america
9718,guadeloupe,builtin,country,6,guadeloupe,region: north_america
9719,guatemala,builtin,country,6,guatemala,region: north_america
9720,haiti,builtin,country,6,haiti,region: north_america
9721,honduras,builtin,country,6,honduras,region: north_america
9722,jamaica,builtin,country,6,jamaica,region: north_america
9723,martinique,builtin,country,6,martinique,region: north_america
9724,mexico,builtin,country,6,mexico,region: north_america
9725,montserrat,builtin,country,6,montserrat,region: north_america
9726,nicaragua,builtin,country,6,nicaragua,region: north_america
9727,panama,builtin,country,6,panama,region: north_america
9728,puerto_rico,builtin,country,6,puerto_rico,region: north_america
9730,saint_lucia,builtin,country,6,saint_lucia,region: north_america
9731,saint_martin,builtin,country,6,saint_martin,region: north_america
9732,saint_pierre_and_miquelon,builtin,country,6,saint_pierre_and_miquelon,region: north_america
9735,trinidad_and_tobago,builtin,country,6,trinidad_and_tobago,region: north_america
9736,turks_and_caicos_islands,builtin,country,6,turks_and_caicos_islands,region: north_america
9737,united_states,builtin,country,6,united_states,region: north_america
9800,argentina,builtin,country,6,argentina,region: south_america
